sk_unidade	pk_lancamento	cd_lancamento	sk_conta_financeira	dt_vencimento	dt_mes_referencia	vl_total_nf	dt_venc_parcela	sk_fornecedor	dt_realizacao	vl_realizacao	ds_observacao	dt_emissao_nf_doc	dt_inclusao	cd_nf_doc	sk_conta_bancaria	cd_parcela	vl_juros	vl_descontos	tp_lancamento	sk_centro_custos	tp_forma_pgto	cd_documento	tp_situacao
1	6	6	47	2023-04-28	2023-03-01	15.0	2023-04-28	1	2023-04-01	15.0	Materiais Descartaveis Cozinha			0000018185	1	0	0.0	0.0		8			PAGO
1	7	7	71	2023-03-10	2023-03-01	36.53	2023-03-10	2	2023-03-01	36.53	Material de manutencao predial			0000136874	1	0	0.0	0.0		7			PAGO
1	8	8	71	2023-03-27	2023-03-01	328.58	2023-03-27	2	2023-03-01	328.58	Material de manutencao predial			0000137186	1	0	0.0	0.0		3			PAGO
1	9	9	71	2023-04-24	2023-03-01	328.58	2023-04-24	2	2023-04-01	328.58	Material de manutencao predial			0000137186	1	0	0.0	0.0		5			PAGO
1	10	10	71	2023-05-22	2023-03-01	328.58	2023-05-22	2	2023-05-01	328.58	Fechadura			0000137186	1	0	0.0	0.0		3			PAGO
1	11	11	71	2023-06-19	2023-03-01	328.56	2023-06-19	2	2023-06-01	328.56	Material de manutencao predial			0000137186	1	0	0.0	0.0		3			PAGO
1	12	12	71	2023-05-22	2023-03-01	120.9	2023-05-22	2	2023-05-01	120.9	Fechadura			0000138556	1	0	0.0	0.0		1			PAGO
1	13	13	54	2023-04-21	2023-03-01	280.04	2023-04-21	3	2023-04-01	280.04	Material de limpeza e higiene			0000002680	1	0	0.0	0.0		3			PAGO
1	14	14	69	2023-01-04	2023-03-01	3120.0	2023-01-04	4	2023-01-01	3120.0	REFORMA			0000020231	1	0	0.0	0.0		6			PAGO
1	14	14	69	2023-01-04	2023-03-01	3120.0	2023-01-04	4	2023-01-01	3120.0	REFORMA			0000020231	1	0	0.0	0.0		6			PAGO
1	14	14	69	2023-01-04	2023-03-01	3120.0	2023-01-04	4	2023-01-01	3120.0	REFORMA			0000020231	1	0	0.0	0.0		6			PAGO
1	14	14	69	2023-01-04	2023-03-01	3120.0	2023-01-04	4	2023-01-01	3120.0	REFORMA			0000020231	1	0	0.0	0.0		6			PAGO
